date,county,fips,place,confirmed_cases,note,x,y,log_cases,category,ordinal_cat,alpha
2020-10-23,Sonoma,97.0,Bodega,1,10 or fewer,-122.97388899999999,38.345278,0.0,0,0,84.2446036442287
2020-07-02,Plumas,63.0,Indian Valley,1,,-120.88578700000001,40.081003,0.0,0,0,44.51616212092759
2020-06-24,Nevada,57.0,95927,1,9 or fewer,-121.94008600000001,39.809273,0.0,0,0,86.90439832836414
2020-04-07,Riverside,65.0,Indio Hills,1,,-116.23139599999999,33.831128,0.0,0,0,148.81373530182626
2020-10-23,Marin,41.0,Inverness,1,9 or fewer,-122.857675,38.101176,0.0,0,0,52.84439889181487
2020-07-02,Plumas,63.0,Chester/Lake Almanor,1,,-121.23472199999999,40.3025,0.0,0,0,6.727057359677954
2020-05-06,Kern,29.0,Maricopa,1,,-119.400833,35.058889,0.0,0,0,226.39550280759843
2020-06-24,Nevada,57.0,95978,1,9 or fewer,-121.525915,39.906141,0.0,0,0,65.52287190101812
2020-03-25,Los Angeles,37.0,Athens,1,,-118.303,33.92348,0.0,0,0,1212.8816335490978
2020-06-23,Calaveras,9.0,Angels Camp,1,,-120.551979,38.074667,0.0,0,0,63.7535062121234
2020-10-23,Marin,41.0,Dillon Beach,1,9 or fewer,-122.96665700000001,38.250583,0.0,0,0,23.25443914314826
2020-10-23,Marin,41.0,Muir Beach,1,9 or fewer,-122.580898,37.862086,0.0,0,0,150.82839499038036
2020-10-23,Marin,41.0,Nicasio,1,9 or fewer,-122.699146,38.061577,0.0,0,0,0.0
2020-10-25,San Bernardino,71.0,Mt Baldy,1,,-117.66,34.236111,0.0,0,0,92.92913098485712
2020-10-23,Marin,41.0,Lagunitas-Forest Knolls,1,9 or fewer,-122.68946899999999,38.013861,0.0,0,0,0.0
2020-07-16,Imperial,25.0,92004,1,,-116.37498000000001,33.25665,0.0,0,0,78.41254334867277
2020-10-25,San Bernardino,71.0,Daggett,1,,-116.886523,34.86215,0.0,0,0,88.44516034525753
2020-10-23,Marin,41.0,Alto,1,9 or fewer,-122.525493,37.904404,0.0,0,0,591.5280885415478
2020-10-08,Imperial,25.0,92244,1,,-115.692714,32.79475,0.0,0,0,1263.3996554134214
2020-10-23,Lake,33.0,95443,1,,-122.73704,39.02986,0.0,0,0,103.84119228560166
2020-08-05,San Bernardino,71.0,El Mirage,1,,-117.631111,34.602222,0.0,0,0,120.684619693045
2020-05-06,Kern,29.0,Inyokern,1,,-117.8125,35.646944,0.0,0,0,260.6769055873673
2020-10-23,Lake,33.0,95493,1,,-122.97407,39.18934,0.0,0,0,104.24398380440383
2020-10-23,Marin,41.0,Bolinas,1,9 or fewer,-122.686568,37.909209999999995,0.0,0,0,0.0
2020-09-25,San Bernardino,71.0,Havasu,1,,-114.41,34.483000000000004,0.0,0,0,19.9634369051365
2020-06-09,Tulare,107.0,Goshen,1,10 or fewer,-119.419358,36.349117,0.0,0,0,364.0012133210347
2020-10-23,Marin,41.0,Stinson Beach,1,9 or fewer,-122.6447,37.900447,0.0,0,0,41.39509156848929
2020-10-23,Marin,41.0,Tomales,1,9 or fewer,-122.904946,38.24654,0.0,0,0,0.0
2020-10-25,San Bernardino,71.0,Green Valley Lake,1,,-117.07722199999999,34.240833,0.0,0,0,133.75754373397734
2020-08-07,Napa,55.0,Northeast American Canyon,1,,-122.224884,38.197520000000004,0.0,0,0,243.68288944030672
2020-10-23,Marin,41.0,Woodacre,1,9 or fewer,-122.64540500000001,38.012655,0.0,0,0,44.7698857817648
2020-10-25,Kern,29.0,93524: Edwards,1,,-117.908625,34.931746999999994,0.0,0,0,65.26801889642167
2020-06-16,Marin,41.0,Black Point-Green Point,1,9 or fewer,-122.517255,38.114795,0.0,0,0,317.6130744339286
2020-10-23,San Mateo,81.0,Loma Mar,1,9 or fewer,-122.27673100000001,37.27042,0.0,0,0,64.14556490364214
2020-10-23,Napa,55.0,Chiles Valley Area,1,,-122.344756,38.529655,0.0,0,0,51.8716251937164
2020-10-23,Sonoma,97.0,Monte Rio,1,10 or fewer,-123.01388899999999,38.470278,0.0,0,0,135.5390541609989
2020-10-23,Sonoma,97.0,Kenwood,1,10 or fewer,-122.54611100000001,38.41388900000001,0.0,0,0,195.73519901054027
2020-10-23,Sonoma,97.0,Jenner,1,10 or fewer,-123.11555600000001,38.449721999999994,0.0,0,0,24.827597220726634
2020-10-23,Sonoma,97.0,Graton,1,10 or fewer,-122.86638899999998,38.4375,0.0,0,0,242.00103705040942
2020-05-06,Kern,29.0,Lake Isabella,1,,-118.473056,35.618056,0.0,0,0,135.448397712372
2020-10-23,Sonoma,97.0,Cazadero,1,10 or fewer,-123.085278,38.533333,0.0,0,0,34.63074807768131
2020-10-23,Marin,41.0,San Geronimo,1,9 or fewer,-122.664097,38.013109,0.0,0,0,0.0
2020-10-23,San Mateo,81.0,West Menlo Park,1,9 or fewer,-122.20299999999999,37.4335,0.0,0,0,438.5658590599876
2020-10-23,Nevada,57.0,96162,1,9 or fewer,-120.298198,39.320596,0.0,0,0,77.05037410174596
2020-10-23,Napa,55.0,Northeast American Canyon Area,1,,-122.224884,38.197520000000004,0.0,0,0,243.68288944030672
2020-10-23,Sonoma,97.0,The Sea Ranch,1,10 or fewer,-123.454444,38.71527800000001,0.0,0,0,20.998083947008517
2020-05-25,Marin,41.0,West Marin,1,9 or fewer,-122.806944,38.069167,0.0,0,0,4507.224895508925
2020-10-23,San Mateo,81.0,Princeton,1,9 or fewer,-122.01,39.4032,0.0,0,0,49.115334606647615
2020-10-25,San Francisco,75.0,94104,1,9 or fewer,-122.402129,37.791412,0.0,0,0,1522.7392116236647
2020-10-25,San Bernardino,71.0,Baldy Mesa,1,,-117.450278,34.459167,0.0,0,0,276.2827322937985
2020-03-25,San Diego,73.0,San Ysidro,1,,-117.04851399999998,32.556644,0.0,0,0,239.0874152450091
2020-04-21,Ventura,111.0,Somis,1,,-118.994592,34.263681,0.0,0,0,515.9117224826045
2020-10-23,Nevada,57.0,95960,1,9 or fewer,-121.105093,39.367443,0.0,0,0,84.35578560494068
2020-10-23,San Mateo,81.0,Ladera,1,9 or fewer,-122.197222,37.399444,0.0,0,0,334.11864843561295
2020-04-21,Napa,55.0,Between St Helena and Yountville Area,1,,-122.42138899999999,38.458611,0.0,0,0,356.1853658269333
2020-10-23,Nevada,57.0,95924,1,9 or fewer,-121.02414399999999,39.199754,0.0,0,0,165.68167477290982
2020-10-23,Nevada,57.0,95986,1,9 or fewer,-120.79501200000001,39.361486,0.0,0,0,17.30061908982218
2020-10-23,Nevada,57.0,95977,1,9 or fewer,-121.28975,39.193220000000004,0.0,0,0,77.55883190622106
2020-10-23,Nevada,57.0,96111,1,9 or fewer,-120.021212,39.392752,0.0,0,0,64.34513410804092
2020-10-23,Nevada,57.0,95712,1,9 or fewer,-120.96725500000001,39.145764,0.0,0,0,69.87168387854297
2020-10-23,San Mateo,81.0,Broadmoor,1,9 or fewer,-122.478889,37.6925,0.0,0,0,824.6930100224324
2020-10-23,Nevada,57.0,95724,1,9 or fewer,-120.64145,39.26599,0.0,0,0,25.445194060540334
2020-10-23,San Mateo,81.0,La Honda,1,9 or fewer,-122.20865800000001,37.29111500000001,0.0,0,0,72.04227624536453
2020-10-23,San Mateo,81.0,North Fair Oaks,1,9 or fewer,-122.1966,37.4744,0.0,0,0,542.9444614342049
2020-10-23,Nevada,57.0,95728,1,9 or fewer,-120.41038999999999,39.311156,0.0,0,0,36.825132522235904
2020-10-25,Kern,29.0,93287: Woody,2,,-118.836405,35.703491,0.6931471805599453,0,0,68.43223009236219
2020-04-07,Riverside,65.0,Warm Springs,2,,-117.32865100000001,33.679744,0.6931471805599453,0,0,264.757945595863
2020-10-25,Los Angeles,37.0,East Lancaster,2,,-117.99598200000001,34.667605,0.6931471805599453,0,0,136.2177383970531
2020-10-23,Imperial,25.0,92222,2,,-114.560561,32.789371,0.6931471805599453,0,0,30.375395338653856
