name,x,y,county,ordinal_cat,COVID-19 danger
Circle K & Minimart,-117.19077720000001,34.0573651,San Bernardino,1,Low Risk
Unknown Name,-117.22560870000001,34.0485747,San Bernardino,3,Medium Risk
Unknown Name,-117.1562993,34.0413876,San Bernardino,1,Low Risk
Arco,-122.420268,37.7684682,San Francisco,2,Mild Risk
Valley Oil,-122.0701271,37.381165,Santa Clara,3,Medium Risk
Unknown Name,-118.23723740000001,34.10327279999999,Los Angeles,3,Medium Risk
Arco,-122.07842600000001,37.40606470000001,Santa Clara,3,Medium Risk
Arco,-121.7879328,37.6774981,Alameda,3,Medium Risk
Shell,-121.7868756,37.6777037,Alameda,3,Medium Risk
76,-122.25037140000002,37.837303399999996,Alameda,3,Medium Risk
Car Service,-122.2372221,37.8407536,Alameda,3,Medium Risk
Chevron,-122.26154409999998,37.8404305,Alameda,3,Medium Risk
Mobil,-122.27001509999998,37.8394465,Alameda,3,Medium Risk
Fuel 24:7,-122.2701261,37.84002520000001,Alameda,3,Medium Risk
Unknown Name,-122.2334503,37.775501399999996,Alameda,3,Medium Risk
Chevron,-122.20975190000001,37.82558579999999,Alameda,3,Medium Risk
Chevron,-122.24412120000001,37.8579312,Alameda,3,Medium Risk
Unknown Name,-122.2467567,37.84382,Alameda,3,Medium Risk
Valero,-122.35037,37.581745,San Mateo,1,Low Risk
Chevron,-122.3341399,37.5803881,San Mateo,1,Low Risk
Unknown Name,-122.36341770000001,37.5872485,San Mateo,1,Low Risk
Unknown Name,-122.3623912,37.5876457,San Mateo,1,Low Risk
Unknown Name,-122.33718470000001,37.578398,San Mateo,1,Low Risk
Valero,-122.3627774,37.5887203,San Mateo,1,Low Risk
76,-121.8623645,37.221047399999996,Santa Clara,3,Medium Risk
Shell,-117.95490500000001,33.7165414,Orange,3,Medium Risk
Unknown Name,-120.23095500000001,37.83851660000001,Calaveras,1,Low Risk
Shell,-122.087399,37.3731217,Santa Clara,3,Medium Risk
Chevron,-117.2158525,32.8670766,San Diego,3,Medium Risk
World,-117.2041575,32.854825899999994,San Diego,3,Medium Risk
Shell,-117.204072,32.8543944,San Diego,3,Medium Risk
Mobil,-117.2049467,32.8542675,San Diego,3,Medium Risk
Unknown Name,-117.1843763,32.822783199999996,San Diego,3,Medium Risk
Clairemont Auto Care,-117.19508359999999,32.8342381,San Diego,3,Medium Risk
Unknown Name,-117.1944828,32.8342381,San Diego,3,Medium Risk
Unknown Name,-117.19509359999999,32.8348112,San Diego,3,Medium Risk
Chevron,-121.69642490000001,38.5510626,Yolo,2,Mild Risk
