,name,x,y,radius,acres_burned,status
1270,Far Fire,-121.35014,39.06066,3.6375861597263857,38,contained
1271,Lake Fire,-120.29655100000001,37.524378000000006,5.497168225293202,244,contained
1278,Horse Fire,-122.435492,40.463936,3.4011973816621555,30,contained
1287,Whiskey Fire,-121.468074,37.962557000000004,4.499809670330265,90,contained
1292,Valley Fire,-120.027731,37.241427,5.003946305945459,149,contained
1293,Tejon Fire,-118.91833329999999,34.900833299999995,5.337538079701318,208,contained
1294,Canyon Fire,-122.143942,38.481258000000004,4.1588830833596715,64,contained
1295,Milpas Fire,-117.10318000000001,34.42386,4.394449154672439,81,contained
1296,Moms Fire ,-121.57973799999999,39.423833,2.302585092994046,10,contained
1297,Marshview Fire,-122.118889,38.158333,5.209486152841421,183,contained
1298,Sweigert Fire ,-121.807258,37.433192,4.382026634673881,80,contained
1299,Thompson Fire ,-120.435278,35.004721999999994,4.553876891600541,95,contained
1300,Tree Fire,-122.65656899999999,41.834365999999996,4.418840607796598,83,contained
1301,Community Fire,-122.845,41.838,3.5553480614894135,35,contained
1302,Usal Fire,-123.84601299999999,39.831762,4.867534450455582,130,contained
1303,Star Fire,-117.76976599999999,33.997528,5.049856007249537,156,contained
1305,Dehesa Fire,-116.79603200000001,32.767649,5.0106352940962555,150,contained
1307,Lake Fire,-120.984167,35.908333,5.755742213586912,316,contained
1310,Mesa Fire ,-118.41203999999999,35.60989,6.104793232414985,448,contained
1318,Gilbert Fire,-122.25408999999999,40.55924,3.4011973816621555,30,contained
1321,Sellers Fire,-121.678172,37.968494,4.060443010546419,58,contained
1322,R-1 Fire,-120.336977,40.886677,4.867534450455582,130,contained
1323,3-2 Willow (Previously H-1 Fire),-121.320838,40.900458,4.672828834461906,107,contained
1327,Harte Fire,-121.841879,37.708743,5.480638923341991,240,contained
1333,West Fire ,-118.34223899999999,34.675542,4.653960350157523,105,contained
1337,Bayliss Fire,-121.761974,37.219716999999996,4.0943445622221,60,contained
1339,Hunter Fire,-120.208019,37.532028000000004,6.0473721790462776,423,contained
1343,Gaines Fire,-120.17701799999999,37.536069,7.170119543449628,1300,contained
1350,Jamieson Fire,-121.45597,37.034183,3.5553480614894135,35,contained
1355,Creek Fire,-119.030621,36.40193,6.628041376179533,756,contained
1363,Walker Fire,-120.68055600000001,40.061389,10.908008917804642,54612,contained
1371,Springs Fire,-118.87200000000001,37.826,8.484669999710677,4840,contained
1374,Broder Fire,-118.185,36.150999999999996,5.942799375126701,381,contained
1378,Lime Fire,-122.66225800000001,41.862237,7.534762657037537,1872,contained
1387,Stuhr Fire ,-121.110146,37.32585,5.247024072160486,190,contained
1388,Redwood Fire,-117.27014399999999,33.854597,3.5263605246161616,34,contained
1390,Horseshoe Fire ,-117.043723,33.4853,6.253828811575473,520,contained
