name,longitude,latitude
Hometown Buffet,-118.3305106,34.190943
Benjarong Thai Cuisine,-117.1959165,34.0590042
Myung GA Tofu and Korean BBQ,-117.2615984,34.0695688
Party House Restaurant,-117.279203,34.0867574
Pho Ha Vietnamese Restaurant,-117.2768812,34.0916869
ḾU,-117.186232,34.0563345
Watercress Vietnamese Bistro,-117.2083131,34.0487299
Denny's,-122.4079161,37.6501154
Nick's Cove,-122.9206461,38.1993881
True Food Kitchen,-118.4945477,34.0114445
Mountain Mike's Pizza,-122.2095672,37.8269275
Pho Dakao,-117.9457278,33.7373487
Yamo Yamo,-122.3374627,37.5782082
Rama V Thai Cuisine,-122.0061096,37.3514098
Komala Vilas,-122.0064404,37.351412
Pizz’a Chicago,-121.9999994,37.3538012
Ginger Cafe,-122.0374992,37.3684685
Il Fornaio,-122.347185,37.5798967
Barracuda,-122.3490524,37.5783326
Swati Tiffins,-121.9953212,37.3782704
Madura Indian restaurant,-122.0426055,37.3400615
Tomatina,-121.9837756,37.3885562
Mexicali Grill,-121.9838892,37.3894651
Terrace Cafe,-122.3975163,37.6077487
Celia's,-122.3350416,37.5797811
Leucadia,-117.2246938,32.8623226
Subarashi,-117.2246904,32.8620457
Thai Time III,-117.1837793,32.8213897
Sipz Fusion Cafe,-117.1738615,32.8336437
Dining Pavilion,-119.5713181,37.7371119
Shanghai Cafe,-117.2244316,32.8626893
Yokohama Sushi,-118.4066108,34.0169087
Elijah's,-117.2324968,32.8693375
Fish Market Restaurant,-122.2929168,37.5559499
Broadway Grill Inc,-122.3660183,37.5849154
Treehouse,-122.171192,37.423915
Berkeley Thai House,-122.2582971,37.8671499
Fish & Bird Sousaku Izakaya,-122.2671401,37.8647961
Pat Brown's Grille,-122.2648839,37.8733273
Mel's Drive-in,-122.4370481,37.7995505
Cafe Chloe,-117.1563121,32.7127302
Round Table Pizza,-122.0425058,37.3389249
Tako Sushi,-122.2586866,37.8672314
Ray's Grill,-122.1583978,37.4235286
Maggiano's Little Italy,-118.6037632,34.181585
The Pantry,-122.3050191,37.5532579
Mission Beach Cafe,-122.424584,37.768083
Monk's Kettle,-122.4229831,37.7647314
Baumé,-122.143097,37.428219
Homma’s Brown Rice Sushi,-122.1442042,37.4278647
Palo Alto Sol Restaurant‎,-122.1448375,37.4265636
Cafe Brioche,-122.1450634,37.4257903
Cafe Pro Bono,-122.1434243,37.4272472
Spalti Ristorante‎,-122.1447011,37.4262198
The Counter,-122.1442408,37.4267498
Vitality Bowls,-122.1431548,37.4281388
Zareen's,-122.1441329,37.4267838
Homemade Cafe,-122.2813596,37.8622626
New York Pizza,-122.2410036,37.7660897
Alameda Grill Hamburgers,-122.2409454,37.7658404
Genghis Khan Kitchen,-122.2408049,37.7663244
Sandwich Board,-122.2410175,37.7655891
Ton Shen,-122.2414027,37.7649191
La Penca Azul,-122.2418224,37.7650947
Panda Restaurant,-122.2419109,37.7650077
Sakura Sushi & Grill,-122.2415099,37.7649695
House of Bagels,-122.2428532,37.7638883
Tomatina,-122.243194,37.7634611
Angkor Grill,-122.2439216,37.7631265
C'era Una Volta,-122.2429501,37.763029
Marley G’s pizzeria,-122.2434581,37.7631405
Boogie Woogie Bagel Boy,-122.2451223,37.7616656
Fire Den Bar & Grill,-122.2449595,37.7618888
Tetsu Ramen,-122.2447801,37.7621136
Dimitra's Sandwiches,-122.2446824,37.7622403
Yellow Tail Japanese Bistro,-122.2431045,37.7630888
Homeroom Racing Cafe,-122.2441472,37.7628465
Taqueria Ramiro & Sons,-122.2438327,37.7636602
Burma Superstar,-122.2434417,37.7636743
Spice I am,-122.2431875,37.7639623
Robeks Juice,-122.2431016,37.7640768
Pappo,-122.2433332,37.7642855
Café Central,-122.243952,37.7645501
Burger Meister,-122.2431742,37.7644352
Taqueria Viva Mexico,-122.2430562,37.7643928
Ark Chinese Restaurant,-122.2428068,37.7644649
Hong Kong City Seafood Restaurant,-122.2423988,37.7649556
Toomie's Thai Cuisine,-122.2421816,37.7652292
China House Restaurant,-122.2422373,37.7653888
Johnathan's Sandwich House,-122.242668,37.7655666
Zen Asian Fusion Tapas and Lounge,-122.2426242,37.7658659
Cafe Fudgelato,-122.2420425,37.7655873
Ole's Waffle Shop,-122.2417885,37.7656721
Island Taqueria,-122.2416379,37.765865
Gim's Chinese Kitchen,-122.2416321,37.7666764
Central Vegetarian Cuisine,-122.240625,37.7670727
McGee's Bar and Grill,-122.2400247,37.7678495
Sushi King,-122.2395458,37.7676379
Off the Hook Seafood & Super Burritos,-122.2681395,37.814396
New Lakeside Chinese Restaurant,-122.2647374,37.8120004
El Burrito Gordo,-122.2648339,37.8120173
Soprano's Pizza Pasta & Grill,-122.2649438,37.8120343
Applebee's,-118.1384332,33.848193
Round Table Pizza,-118.1362187,33.8529261
Unknown Name,-118.1346955,33.8532424
Fuddruckers,-118.1341674,33.8524699
El Torito,-118.1418578,33.8532397
Red Lobster,-118.1411997,33.8542302
Dave & Buster's,-121.8978827,37.4184027
Lo Coco's,-122.26981,37.8817265
Saul's Deli,-122.269008,37.880694
Ijo Izakaya,-122.269035,37.880923
Kirala 2,-122.269013,37.8798086
Soop,-122.269013,37.8798563
Tigerlily Berkeley,-122.2690006,37.8797331
César,-122.2690441,37.8796544
Chez Panisse,-122.26897,37.8795958
Cheeseboard Pizza,-122.269469,37.87986
Barney's Gourmet Hamburgers,-122.269441,37.878223
Da Lian,-122.2691647,37.8770733
Cha Ya,-122.2691238,37.8768171
Poulet,-122.2687078,37.8767394
Taste of the Himalayas,-122.269079,37.876464
Thai Delight,-122.269062,37.8763927
Agrodolce,-122.269038,37.87601
Party Sushi,-122.2689252,37.8752578
The Oriental Restaurant,-122.2689132,37.8751541
Corso,-122.2689024,37.8750524
The Noodle Company,-122.268714,37.873196
Turkish Kitchen,-122.2686471,37.872546
Bangkok Noodle & Thai BBQ,-122.2686723,37.8727493
Grégoire,-122.2685875,37.8785742
Dara Thai/Lao Cuisine,-122.2689054,37.8786019
JotMahal,-122.2689271,37.8786643
