longitude,latitude,radius,county,risk_category
-122.97388899999999,38.345278,1,Sonoma,0
-120.88578700000001,40.081003,1,Plumas,0
-121.94008600000001,39.809273,1,Nevada,0
-116.23139599999999,33.831128,1,Riverside,0
-122.857675,38.101176,1,Marin,0
-121.23472199999999,40.3025,1,Plumas,0
-119.400833,35.058889,1,Kern,0
-121.525915,39.906141,1,Nevada,0
-118.303,33.92348,1,Los Angeles,0
-120.551979,38.074667,1,Calaveras,0
-122.96665700000001,38.250583,1,Marin,0
-122.580898,37.862086,1,Marin,0
-122.699146,38.061577,1,Marin,0
-117.66,34.236111,1,San Bernardino,0
-122.68946899999999,38.013861,1,Marin,0
-116.37498000000001,33.25665,1,Imperial,0
-116.886523,34.86215,1,San Bernardino,0
-122.525493,37.904404,1,Marin,0
-115.692714,32.79475,1,Imperial,0
-122.73704,39.02986,1,Lake,0
-117.631111,34.602222,1,San Bernardino,0
-117.8125,35.646944,1,Kern,0
-122.97407,39.18934,1,Lake,0
-122.686568,37.909209999999995,1,Marin,0
-114.41,34.483000000000004,1,San Bernardino,0
-119.419358,36.349117,1,Tulare,0
-122.6447,37.900447,1,Marin,0
-122.904946,38.24654,1,Marin,0
-117.07722199999999,34.240833,1,San Bernardino,0
-122.224884,38.197520000000004,1,Napa,0
-122.64540500000001,38.012655,1,Marin,0
-117.908625,34.931746999999994,1,Kern,0
-122.517255,38.114795,1,Marin,0
-122.27673100000001,37.27042,1,San Mateo,0
-122.344756,38.529655,1,Napa,0
-123.01388899999999,38.470278,1,Sonoma,0
-122.54611100000001,38.41388900000001,1,Sonoma,0
-123.11555600000001,38.449721999999994,1,Sonoma,0
-122.86638899999998,38.4375,1,Sonoma,0
-118.473056,35.618056,1,Kern,0
-123.085278,38.533333,1,Sonoma,0
-122.664097,38.013109,1,Marin,0
-122.20299999999999,37.4335,1,San Mateo,0
-120.298198,39.320596,1,Nevada,0
-122.224884,38.197520000000004,1,Napa,0
-123.454444,38.71527800000001,1,Sonoma,0
-122.806944,38.069167,1,Marin,0
-122.01,39.4032,1,San Mateo,0
-122.402129,37.791412,1,San Francisco,0
-117.450278,34.459167,1,San Bernardino,0
-117.04851399999998,32.556644,1,San Diego,0
-118.994592,34.263681,1,Ventura,0
-121.105093,39.367443,1,Nevada,0
-122.197222,37.399444,1,San Mateo,0
-122.42138899999999,38.458611,1,Napa,0
-121.02414399999999,39.199754,1,Nevada,0
-120.79501200000001,39.361486,1,Nevada,0
-121.28975,39.193220000000004,1,Nevada,0
-120.021212,39.392752,1,Nevada,0
-120.96725500000001,39.145764,1,Nevada,0
-122.478889,37.6925,1,San Mateo,0
-120.64145,39.26599,1,Nevada,0
-122.20865800000001,37.29111500000001,1,San Mateo,0
-122.1966,37.4744,1,San Mateo,0
-120.41038999999999,39.311156,1,Nevada,0
-118.836405,35.703491,2,Kern,0
-117.32865100000001,33.679744,2,Riverside,0
-117.99598200000001,34.667605,2,Los Angeles,0
-114.560561,32.789371,2,Imperial,0
-116.68463500000001,35.26284000000001,2,San Bernardino,0
-117.14638899999999,36.606111,2,Inyo,0
-114.73166699999999,33.595833,2,Riverside,0
-116.494722,34.157222,2,San Bernardino,0
-119.31319199999999,34.397521999999995,2,Ventura,0
-120.159167,38.404444,2,Calaveras,0
-118.3798,34.0557,2,Los Angeles,0
-118.72974599999999,35.723529,2,Kern,0
-117.401389,34.216389,2,San Bernardino,0
-118.96968000000001,34.840088,2,Kern,0
-118.27900700000001,34.275218,2,Los Angeles,0
-119.156667,34.846944,2,Kern,0
-118.628869,35.29122299999999,2,Kern,0
-114.369722,34.133889,2,San Bernardino,0
-119.364401,35.29931,2,Kern,0
-117.670833,35.6225,3,Kern,0
-116.62567800000001,33.183513,3,San Diego,0
