name,longitude,latitude
Circle K & Minimart,-117.1907772,34.0573651
,-117.2256087,34.0485747
,-117.1562993,34.0413876
Arco,-122.420268,37.7684682
Valley Oil,-122.0701271,37.381165
,-118.2372374,34.1032728
Arco,-122.078426,37.4060647
Arco,-121.7879328,37.6774981
Shell,-121.7868756,37.6777037
76,-122.2503714,37.8373034
Car Service,-122.2372221,37.8407536
Chevron,-122.2615441,37.8404305
Mobil,-122.2700151,37.8394465
Fuel 24:7,-122.2701261,37.8400252
,-122.2334503,37.7755014
Chevron,-122.2097519,37.8255858
Chevron,-122.2441212,37.8579312
,-122.2467567,37.84382
Valero,-122.35037,37.581745
Chevron,-122.3341399,37.5803881
,-122.3634177,37.5872485
,-122.3623912,37.5876457
,-122.3371847,37.578398
Valero,-122.3627774,37.5887203
76,-121.8623645,37.2210474
Shell,-117.954905,33.7165414
,-120.230955,37.8385166
Shell,-122.087399,37.3731217
Chevron,-117.2158525,32.8670766
World,-117.2041575,32.8548259
Shell,-117.204072,32.8543944
Mobil,-117.2049467,32.8542675
,-117.1843763,32.8227832
Clairemont Auto Care,-117.1950836,32.8342381
,-117.1944828,32.8342381
,-117.1950936,32.8348112
Chevron,-121.6964249,38.5510626
Chevron Mission Car Wash,-118.0903715,34.0909625
Arco,-122.3831517,37.6003825
Patriot,-123.7905532,40.0093833
Arco,-122.30565,37.551753
Arco,-117.2255432,34.0635637
Shell,-117.2264817,34.0655247
Shell,-117.2092079,34.0646722
Touchless Gasoline,-122.2664016,37.8684979
Arco,-121.7593854,38.546829
Chevron,-117.1808061,34.0623716
Chevron,-122.1518909,37.4792248
,-123.2041124,39.2662359
Shell,-122.4243389,37.764585
,-118.1429756,33.8798779
Chevron,-118.0875412,33.831782
,-118.099086,33.7423831
,-118.105936,33.7467724
,-122.009687,37.3382722
,-118.105441,33.887245
,-118.1249503,33.8890904
Costco Gasoline,-122.4015096,37.6405002
,-122.2668563,37.8554553
Arco,-122.260754,37.8503278
Arco,-122.244179,37.7621609
76,-122.241209,37.7665265
Cal Gas,-121.8752593,37.3268208
Arco,-121.879584,37.3411416
,-122.0887173,37.3540568
Chevron,-123.2084302,39.1913805
Shell,-123.1993253,39.151165
Rotten Robbie #31,-121.5694177,37.0210099
Chevron,-117.9540019,33.7158403
Mobil,-117.9549989,33.7158375
,-122.031886,37.3524507
Chevron,-121.56538,37.0008405
7-Eleven,-121.8806386,37.3406041
Chevron,-122.1177536,37.3775792
Chevron,-121.557907,36.984475
,-121.5561206,36.9848483
,-122.3980556,37.7798017
76,-121.1694652,38.8352662
Valero,-121.1680404,38.8359883
,-114.5956965,34.8261727
Chevron,-122.2745283,37.8852816
Chevron,-122.4729103,37.7181761
Shell,-122.4427831,37.7177867
VP,-121.5749645,37.0191388
Jesse's,-121.402366,36.8491189
Golden Eagle,-121.6501727,37.1248933
Quest Mart,-123.2085626,39.1594319
Shell,-120.8019829,38.3783312
Chevron,-121.637068,37.1306932
Chevron,-118.073949,34.1030456
Mobil,-118.073091,34.1034245
76,-118.07328,34.1225451
Arco,-118.0729796,34.1499462
76,-121.6099513,37.083717
76 Gas Station,-121.6241447,37.100976
,-121.6651215,37.1445217
76,-122.3606694,37.5886437
Valero,-122.3002441,37.9921072
Shell,-122.3115928,37.9884083
,-122.2956627,37.9791807
Golden Gate Petroleum,-122.2833288,37.9605327
,-122.3178499,37.9644305
,-121.5819534,37.0132212
Chevron,-122.317717,37.9866117
,-122.3320017,37.9786311
,-122.3250443,37.9630804
,-122.3130014,37.976607
Shell,-122.365114,37.5963082
Ranier's Service Station,-122.1295901,37.4544367
Arco,-122.0227705,37.566539
76,-122.0261522,37.5681989
Mobil,-119.1131946,37.9472716
76,-122.2789461,37.8911539
76,-122.3043584,37.9021882
R&R,-122.298693,37.9016186
,-122.309519,37.9009497
Shell,-118.3182378,34.1778393
Shell,-122.2826185,37.8023325
Chevron,-122.2754621,37.8088829
Mission 76,-118.0912003,34.0914214
USA Gasoline,-118.9173442,34.3958866
Chevron,-118.9180341,34.3958016
Circle K,-118.9115281,34.3973101
7 - Eleven,-118.9229522,34.3958653
Shell,-118.927553,34.395178
Chevron,-122.7140874,38.386672
Rotten Robbie,-122.7154349,38.3874457
Nyack Shell,-120.6787786,39.291968
Shell,-121.0759245,38.9038182
Shell,-122.4236096,37.7403703
Shell,-121.0598603,38.9183697
Valero,-117.1909435,34.0631935
Arco,-118.1168861,33.8732434
,-117.8820081,33.6662881
,-117.9074196,33.6804508
,-117.9073767,33.6798795
,-117.9081749,33.6797866
Chevron,-117.8853357,33.6821681
,-117.8859959,33.682687
Chevron,-117.8860224,33.6798397
Chevron,-122.2506126,37.4294093
Shell,-117.711324,33.5268906
76,-117.712213,33.5265253
7-Eleven,-117.152859,32.832383
USA Gasoline,-118.0775016,34.1032054
Shell,-118.072831,34.1300433
,-122.0682149,37.3216867
76,-118.0993656,34.1031321
76,-118.0737443,34.1499369
,-121.0162696,38.8872665
Shell,-117.083441,34.8518589
Chevron,-118.4219203,34.2455629
Chevron,-119.025986,35.2672774
76,-122.3663721,37.5844628
,-118.099333,33.8325235
#1 Gas,-122.273378,37.8730923
Shell,-122.0751723,37.3781204
Hilltop,-121.7597078,36.8741542
Valero,-121.9567864,36.9843969
Chevron,-121.9565025,36.9825909
,-121.7538276,36.9071679
,-121.753347,36.9066738
Quickstop,-121.7499138,36.9043403
Shell,-117.1807121,34.0575158
Shell,-122.4518447,37.7815425
,-121.7341586,38.5488231
Shell,-122.0216947,36.9797568
Rod & Ros,-122.0110947,36.9812589
76,-121.9651116,36.9808578
Arco,-121.887701,36.9745011
76,-122.0357725,36.9722889
76 (Om's Market),-122.0322076,36.9760263
Rotten Robbie,-122.0431888,36.9636595
Valero,-122.045279,36.9622061
Chevron,-120.8422758,37.0566894
Kwick Serve,-120.4775555,37.0829258
Pilot,-120.1326253,37.0187478
Chevron,-119.8846331,36.8084557
76,-119.8634415,36.8087031
Chevron,-119.8621969,36.8079334
Shell Gas Station,-120.0744833,36.9761583
Chevron,-120.8399589,37.0571945
,-122.1445583,38.7362476
Sav On Gasoline,-122.0234614,36.9843708
Valero,-122.0231448,36.9835434
Valero,-122.0043858,36.9812502
Costco Gasoline,-122.0359603,36.9847207
76 Gas,-122.4984557,37.7792862
APCO Gasoline,-122.0417144,36.9646926
Gas & Shop,-122.0431356,36.9630144
Valero,-122.7146201,38.331753
,-116.9725849,33.8029936
Exxon,-117.0071117,33.7478896
,-116.977713,33.7477511
Beacon,-121.9761895,37.2942537
USA Gasoline,-121.9657264,37.2945483
,-122.2897069,37.8396119
76,-122.0892764,37.6313191
,-122.3084439,37.9115425
,-122.3190269,37.9256737
,-122.3193873,37.9262491
Chevron,-121.8033083,37.2374172
76,-121.8033942,37.2366382
USA Gasoline,-121.8616305,36.6040599
,-121.7501547,36.7602868
Chevron,-121.7317359,38.5401828
Shell,-121.7380166,38.5408685
Chevron,-122.458522,37.7809712
Shell,-122.467663,37.7806252
Devco Oil,-122.0317856,36.9863649
Shell,-121.9895087,36.9851604
Z Ma Self Service Gasoline,-121.9912244,36.9792673
USA,-121.990012,36.9849926
,-121.7237447,37.7130588
Gas & Shop,-121.7251667,37.711389
,-121.7237294,37.7174032
SP,-122.2944486,37.8753686
EconoGas,-122.2951245,37.8682313
,-122.5033077,37.5958635
Chevron,-122.4864181,37.6139846
Shell,-122.1958617,37.4239446
,-122.3792687,37.6045821
7-Eleven,-122.4775503,37.6597649
,-121.7590362,38.5603759
Chevron,-121.4056348,38.4094884
Shell,-122.6453578,38.2342168
Arco,-121.6665263,36.7919869
Chevron,-121.6684403,36.7914645
Golden Gate Gasoline,-121.7499189,36.9048143
Shell,-122.025463,37.0427054
Shell,-122.0246677,37.0430802
Arco,-121.3134594,38.7720282
Shell,-122.2082123,39.7520979
,-119.2206065,34.1971647
,-119.2205828,34.19802
Chevron,-121.4285517,38.2257428
Shell,-121.394186,38.1150084
76,-121.3939446,38.1139743
76,-121.2813162,37.8963852
,-121.2767677,37.854446
Chevron,-121.2876465,37.8259952
Chevron,-121.2657681,37.5403772
Shell,-121.9399171,37.293804
,-117.24046,32.7975026
,-117.2405802,32.7981591
,-121.9964963,37.3871918
Mobil,-118.3176633,34.0983921
,-117.1227178,33.1309165
Safeway,-121.9085613,36.9794556
Chevron,-121.9079824,36.9798223
Chevron,-121.9360122,36.9893427
76,-121.912211,36.9754955
Mega Fuel,-117.1633923,32.8322424
Chevron,-117.1641906,32.8329925
Chevron,-116.7804301,32.8416212
Shell,-122.193075,37.4029334
,-117.0564414,33.9929959
,-117.0575829,33.993615
Shell,-117.0569284,33.9935429
Fastrip,-117.0626914,34.0043308
Shell,-121.8737261,37.3739373
Chevron,-121.8730566,37.3745785
Chevron,-121.8430681,37.3695588
76,-121.8437814,37.3702295
